STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
723060,13722,20060101,47.7,24,29.7,24,1016.7,24,1000.7,24,10,24,2.5,24,6,999.9,61,35.1, 0.02G,999.9,0
723060,13722,20060102,48.1,24,38.5,24,1018.7,21,1004.3,16,7.6,24,4.4,24,9.9,999.9,60.1,35.1, 0.00G,999.9,0
723060,13722,20060103,48.6,24,46,24,1008.4,23,994.9,7,2.5,24,2.7,24,8,999.9,55.9,45, 0.29G,999.9,100000
723060,13722,20060104,46.3,24,41.2,24,1015.7,23,999.9,23,9.1,24,4.2,24,9.9,999.9,55.9,41, 0.00G,999.9,0
723060,13722,20060105,50.1,24,40.4,24,1008.1,22,991.3,14,6.4,24,5.3,24,8.9,999.9,64,39, 0.00G,999.9,0
723060,13722,20060106,41.5,24,31.3,24,1008.6,21,993.1,16,8.5,24,5.7,24,9.9,15.9,64,34, 0.21G,999.9,10000
723060,13722,20060107,33.8,24,21.2,24,1016.5,24,1000.2,24,10,24,3.7,24,11.1,999.9,46,23, 0.15G,999.9,0
723060,13722,20060108,39.8,24,25.5,24,1018.9,24,1002.6,24,10,24,6.6,24,8.9,999.9,57,23, 0.00G,999.9,0
723060,13722,20060109,53.8,24,40.4,24,1021.2,24,1005.1,24,10,24,11.6,24,15.9,999.9,   64.9*,  46.9*, 0.00G,999.9,0
723060,13722,20060110,51,24,47.8,24,1028,23,1009.9,6,4.1,24,3.6,24,9.9,999.9,66,42.1, 0.00G,999.9,100000
723060,13722,20060111,54.8,24,48.9,24,1023.6,22,1007.2,14,6,24,6.6,24,13.8,19.8,69.1,41, 0.00G,999.9,100000
723060,13722,20060112,57.5,24,52.9,24,1018.2,21,1001.9,12,5.8,24,5.3,24,9.9,999.9,69.1,48, 0.17G,999.9,0
723060,13722,20060113,58.1,24,53.7,24,1014.3,24,996.3,13,6.5,24,5,24,16.9,22.7,69.1,50, 0.00G,999.9,0
