STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
723060,13722, 19920101,   40.7,24,   30.3,24, 1033.2,24, 9999.9, 0,  14.3,24,   8.7,24,  10.1, 999.9,   51.1*,  35.1*, 0.00G,999.9, 000000,
723060,13722, 19920102,   43.7,24,   38.0,24, 1028.0,24, 9999.9, 0,   9.5,24,   6.8,24,   8.9, 999.9,   54.0*,  35.1*, 0.00G,999.9, 100000,
723060,13722, 19920103,   53.0,24,   51.2,24, 1012.8,24, 9999.9, 0,   3.1,24,   9.9,24,  15.0,  20.0,   57.0*,  50.0*, 0.53G,999.9, 110000,
723060,13722, 19920104,   53.3,24,   51.2,24, 1003.1,24, 9999.9, 0,   4.6,24,   7.3,24,  13.0, 999.9,   57.0*,  50.0*, 2.23G,999.9, 110000,
723060,13722, 19920105,   51.4,24,   45.2,24, 1009.0,24, 9999.9, 0,  11.8,24,   8.7,24,  14.0,  19.0,   57.0*,  48.0*, 0.03G,999.9, 110000,
723060,13722, 19920106,   44.1,24,   37.8,24, 1012.0,24, 9999.9, 0,  11.6,24,   4.3,24,   8.9, 999.9,   50.0*,  37.9*, 0.00D,999.9, 000000,
723060,13722, 19920107,   40.0,24,   28.8,24, 1017.6,24, 9999.9, 0,   8.6,24,   4.1,24,   8.9, 999.9,   53.1*,  30.0*, 0.00G,999.9, 000000,
723060,13722, 19920108,   39.2,24,   29.9,24, 1023.9,24, 9999.9, 0,   8.2,24,   3.7,24,   8.9, 999.9,   53.1*,  28.0*, 0.00G,999.9, 000000,
723060,13722, 19920109,   47.6,24,   42.0,24, 1019.0,24, 9999.9, 0,   5.9,24,   6.1,24,   8.9, 999.9,   53.1*,  41.0*, 0.01G,999.9, 110000,
723060,13722, 19920110,   50.6,24,   46.7,24, 1010.8,24, 9999.9, 0,   3.4,24,   7.6,24,  18.1, 999.9,   54.0*,  46.0*, 0.02G,999.9, 110000,
723060,13722, 19920111,   40.3,24,   22.8,24, 1017.2,24, 9999.9, 0,  13.9,24,   9.0,24,  15.9, 999.9,   51.1*,  28.9*, 0.04G,999.9, 000000,
723060,13722, 19920112,   43.0,24,   24.9,24, 1021.5,24, 9999.9, 0,  14.7,24,   6.2,24,  11.1, 999.9,   60.1*,  28.9*, 0.00G,999.9, 000000,
723060,13722, 19920113,   53.8,24,   43.7,24, 1014.7,24, 9999.9, 0,   8.8,24,   6.5,24,  11.1, 999.9,   60.1*,  48.9*, 0.07G,999.9, 110000,
723060,13722, 19920114,   58.5,24,   48.4,24,  998.5,24, 9999.9, 0,  10.4,24,  15.1,24,  24.1, 999.9,   62.1*,  46.0*, 0.19G,999.9, 110000,
723060,13722, 19920115,   35.1,24,   12.9,24, 1014.1,24, 9999.9, 0,  14.9,24,   8.8,24,  15.9, 999.9,   44.1*,  28.9*, 0.15G,999.9, 000000,
