STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
723060,13722,20050101,54.5,24,45,24,1029.5,24,1013.3,21,8.3,24,4,24,7,999.9,73.9,37, 0.00G,999.9,0
723060,13722,20050102,54.8,24,47.6,24,1031.6,24,1015.2,15,7.2,24,1.8,24,7,999.9,73.9,42.1, 0.00G,999.9,0
723060,13722,20050103,55.9,24,49.6,24,1030.1,24,1013.3,15,7.2,24,4,24,13,999.9,72,43, 0.00G,999.9,0
723060,13722,20050104,62.3,24,53.4,24,1024.7,24,1008.8,24,10,24,7.9,24,9.9,999.9,75.9,44.1, 0.00G,999.9,0
723060,13722,20050105,62.2,24,53.5,24,1019.7,24,1003.9,24,9.7,24,8.5,24,15.9,19,75.9,53.1, 0.00G,999.9,0
723060,13722,20050106,62.4,24,54.8,24,1013.6,24,997.9,24,9.5,24,11.3,24,19,25.1,73,53.1, 0.00G,999.9,0
723060,13722,20050107,59.6,24,47.1,24,1019.7,24,1003.9,24,10,24,6,24,15.9,21,73,50, 0.02G,999.9,0
723060,13722,20050108,58.5,24,52.2,24,1022,24,1006.3,18,7.6,24,8,24,20,22.9,71.1,50, 0.01G,999.9,0
723060,13722,20050109,48.7,24,37.8,24,1027.4,24,1011.3,24,9.8,24,4.8,24,9.9,999.9,71.1,41, 0.00G,999.9,0
723060,13722,20050110,45.1,24,40.1,24,1023.1,24,1007.2,15,7,24,3.2,24,9.9,999.9,62.1,35.1, 0.00G,999.9,0
723060,13722,20050111,47.8,24,42.3,24,1022.5,24,1005.6,12,6.8,24,2.5,24,6,999.9,63,35.1, 0.00G,999.9,0
723060,13722,20050112,55.1,24,49,24,1021.2,24,1005,14,6.5,24,5.3,24,15,999.9,73.9,37, 0.00G,999.9,0
723060,13722,20050113,65.9,24,58.9,24,1020.1,19,1004.5,22,9.7,24,9.9,24,19,22,   78.1*,  61.0*, 0.00G,999.9,0
723060,13722,20050114,60.4,24,53.3,24,1017.1,22,1001.9,18,8.7,24,12.5,24,22.9,34,78.1,46.9, 1.37G,999.9,10000
723060,13722,20050115,38.8,24,23.5,24,1034.6,24,1018.1,24,10,24,8.1,24,14,999.9,   46.9*,  33.1*, 0.39G,999.9,0
723060,13722,20050116,35.8,24,21.9,24,1030.2,24,1013.4,23,9.7,24,8.4,24,12,17.1,43,32, 0.00G,999.9,0
723060,13722,20050117,30.8,24,11.4,24,1028.4,24,1011.9,24,10,24,7.1,24,11.1,21,43,25, 0.00G,999.9,0
723060,13722,20050118,22.3,24,-1.3,24,1037.3,24,1020.5,24,10,24,5.6,24,8.9,15.9,37,16, 0.00G,999.9,0
723060,13722,20050119,20.3,24,8.3,24,1031.5,22,1015,21,9,24,4.4,24,15.9,999.9,30,12.9, 0.00G,1.2,1000
723060,13722,20050120,32.2,24,19.8,24,1017.7,24,1001.3,24,9.9,24,3,24,8.9,999.9,   42.1*,  25.0*, 0.04G,999.9,0
723060,13722,20050121,33.5,24,30.6,24,1017.6,20,1003.7,7,4.6,24,5.2,24,12,999.9,43,25.2, 0.17G,999.9,1000
723060,13722,20050122,28.9,24,21.1,24,1017.7,23,1003.3,20,9.1,24,5.4,24,8.9,999.9,34,27, 0.11G,999.9,0
723060,13722,20050123,26.4,24,13.4,24,1013.7,22,998.2,20,7.8,24,9.1,24,15,25.1,33.1,18, 0.04G,999.9,0
723060,13722,20050124,24.8,24,4.3,24,1024.5,24,1007.9,24,9.9,24,6,24,13,18.1,42.1,10.9, 0.00G,999.9,0
723060,13722,20050125,38.2,24,14.1,24,1015.2,24,998.9,24,10,24,5.1,24,11.1,999.9,   55.0*,  26.1*, 0.00G,999.9,0
723060,13722,20050126,45.3,24,29.9,24,1007.9,24,992,23,9.6,24,6.4,24,9.9,999.9,63,24.1, 0.00G,999.9,0
723060,13722,20050127,42.4,24,24.8,24,1019.6,24,1003.4,24,9.9,24,8.2,24,14,22,63,28.9, 0.01G,999.9,0
723060,13722,20050128,25.2,24,0.6,24,1038.4,24,1021.6,24,10,24,7.6,24,14,17.1,   32.0*,  19.0*, 0.00G,999.9,0
723060,13722,20050129,25.9,24,11.5,24,1035.9,22,1019.5,21,9.6,24,4.8,24,7,999.9,   34.0*,  19.0*, 0.00G,999.9,0
723060,13722,20050130,33,24,30.9,24,1018.6,18,1002.1,11,6.6,24,3.9,24,7,999.9,37,18, 0.59G,999.9,1000
723060,13722,20050131,35.2,24,25,24,1023.3,24,1007,24,9.9,24,6.9,24,13,999.9,   45.0*,  28.9*, 0.50G,999.9,0
723060,13722,20050201,35,24,25.5,24,1028.3,24,1011.8,23,9.4,24,4.9,24,8.9,17.1,46,27, 0.00G,999.9,0
723060,13722,20050202,34.9,24,22.2,24,1030.7,24,1014.1,24,9.8,24,5,24,12,999.9,48,25, 0.00G,999.9,0
723060,13722,20050203,36.9,24,28.3,24,1026,22,1011.3,11,6.6,24,5.6,24,8.9,999.9,48,25, 0.03G,999.9,10000
723060,13722,20050204,37.8,24,31.8,24,1023,23,1006.8,11,5.2,24,6.4,24,13,20,48.9,32, 0.50G,999.9,0
723060,13722,20050205,44.2,24,28.4,24,1026.4,24,1010.1,24,10,24,5.3,24,12,17.1,59,32, 0.00G,999.9,0
723060,13722,20050206,43.8,24,27.3,24,1031.1,24,1014.7,24,10,24,4.1,24,11.1,999.9,62.1,28, 0.00G,999.9,0
723060,13722,20050207,49,24,26.1,24,1028.5,24,1012.2,24,10,24,3.2,24,8,999.9,66,28, 0.00G,999.9,0
