STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
723060,13722, 19850101,   58.8,24,   50.1,24, 1022.6,24, 1006.6,24,   7.6,24,   8.5,24,  15.9,  20.0,   75.0 ,  46.9 , 0.00D,999.9, 100000,
723060,13722, 19850102,   64.4,24,   57.9,24, 1020.7,24, 1004.9,24,  10.7,24,   8.5,24,  12.0, 999.9,   75.0 ,  46.9 , 0.00D,999.9, 110000,
723060,13722, 19850103,   43.0,24,   39.3,24, 1022.5,24, 1006.3,24,   4.2,24,  10.8,24,  14.0,  19.0,   69.1 ,  35.1*, 1.45G,999.9, 110000,
723060,13722, 19850104,   34.6,24,   31.9,24, 1012.8,24,  996.6,24,   3.3,24,   8.2,24,  12.0, 999.9,   46.9 ,  33.1 , 0.93G,999.9, 110000,
723060,13722, 19850105,   38.7,24,   29.1,24, 1009.5,24,  993.3,24,  11.4,24,  11.9,24,  18.1,  28.9,   44.1*,  33.1 , 0.46G,999.9, 111000,
723060,13722, 19850106,   33.8,24,   22.5,24, 1023.0,24, 1006.6,24,  13.9,24,   5.1,24,   8.9, 999.9,   46.9*,  21.0 , 0.00G,999.9, 000000,
723060,13722, 19850107,   38.6,24,   25.6,24, 1013.5,24,  997.3,24,  16.5,24,   7.5,24,  13.0,  20.0,   52.0*,  21.0 , 0.00D,999.9, 000000,
723060,13722, 19850108,   39.3,24,   24.5,24, 1013.2,24,  997.1,24,  14.3,24,   7.6,24,  14.0, 999.9,   52.0 ,  30.0 , 0.00D,999.9, 000000,
723060,13722, 19850109,   33.1,24,   15.2,24, 1026.2,24, 1009.7,24,  14.3,24,   6.5,24,  11.1, 999.9,   46.9 ,  25.0 , 0.00D,999.9, 000000,
723060,13722, 19850110,   28.7,24,   15.2,24, 1028.8,24, 1012.2,24,  12.0,24,   6.7,24,  12.0, 999.9,   39.0 ,  25.0 , 0.02G,999.9, 111000,
723060,13722, 19850111,   32.9,24,   26.7,24, 1019.4,24, 1002.9,24,   4.2,24,   8.0,24,  17.1,  22.0,   45.0*,  25.0 , 0.00D,999.9, 110000,
723060,13722, 19850112,   30.8,24,   10.6,24, 1021.9,24, 1005.5,24,  16.4,24,  12.6,24,  17.1,  25.1,   46.9 ,  25.0 , 0.00D,999.9, 000000,
723060,13722, 19850113,   31.6,24,   13.5,24, 1020.7,24, 1004.2,24,  15.9,24,   8.3,24,  15.0,  15.9,   48.0*,  19.0 , 0.00D,999.9, 000000,
723060,13722, 19850114,   32.9,24,   15.3,24, 1010.7,24,  994.5,24,  14.0,24,   7.4,24,  11.1, 999.9,   48.0 ,  19.0 , 0.00D,999.9, 000000,
723060,13722, 19850115,   34.7,24,    8.9,24, 1011.8,24,  995.6,24,  15.3,24,  13.6,24,  18.1,  27.0,   44.1 ,  23.0 , 0.00D,999.9, 000000,
723060,13722, 19850116,   27.6,24,    4.1,24, 1025.9,24, 1009.2,24,  16.6,24,   7.0,24,  11.1, 999.9,   39.0*,  19.0 , 0.00D,999.9, 000000,
723060,13722, 19850117,   33.2,24,   21.6,24, 1013.0,24,  996.7,24,   5.9,24,   5.8,24,   8.9, 999.9,   39.0 ,  19.0 , 0.36G,999.9, 111000,
723060,13722, 19850118,   34.5,24,   29.1,24, 1004.6,24,  988.5,24,   2.7,24,   4.8,24,  11.1, 999.9,   44.1*,  25.0 , 0.20G,999.9, 100000,
723060,13722, 19850119,   40.4,24,   25.3,24, 1003.5,24,  987.5,24,  11.0,24,   8.7,24,  20.0,  29.9,   50.0*,  34.0 , 0.00G,999.9, 000000,
723060,13722, 19850120,   29.0,24,   14.5,24, 1007.7,24,  991.5,24,   9.5,24,  11.0,24,  21.0,  28.0,   50.0 ,   7.0*, 0.11G,  1.6, 001000,
723060,13722, 19850121,    2.1,24,  -19.5,24, 1020.5,24, 1003.5,24,  15.7,24,  12.0,24,  19.0,  29.9,   16.0*,  -9.0 , 0.00D,  2.0, 000000,
723060,13722, 19850122,   17.2,24,    1.4,24, 1018.0,24, 1001.2,24,  16.7,24,   9.2,24,  15.0,  19.0,   30.9*,   9.0*, 0.00D,  1.2, 000000,
723060,13722, 19850123,   24.4,24,    9.0,24, 1015.9,24,  999.3,24,  10.4,24,   7.9,24,  12.0, 999.9,   37.0*,   7.0 , 0.00D,999.9, 000000,
723060,13722, 19850124,   32.1,24,   13.3,24, 1011.6,24,  995.3,24,  10.1,24,   7.5,24,  15.0, 999.9,   46.0*,  10.9 , 0.00D,999.9, 000000,
723060,13722, 19850125,   38.9,24,   20.8,24, 1005.1,24,  989.0,24,  10.9,24,   7.3,24,  12.0, 999.9,   52.0*,  19.9 , 0.00D,999.9, 000000,
723060,13722, 19850126,   30.0,24,    4.4,24, 1016.1,24,  999.7,24,  15.1,24,  16.2,24,  26.0,  32.1,   52.0 ,  21.9 , 0.00D,999.9, 000000,
723060,13722, 19850127,   29.0,24,    5.3,24, 1021.1,24, 1004.6,24,  13.4,24,   7.2,24,  14.0, 999.9,   45.0*,  15.1 , 0.00D,999.9, 001000,
723060,13722, 19850128,   34.7,24,   24.7,24, 1012.5,24,  996.2,24,   4.4,24,   5.6,24,  13.0, 999.9,   46.0 ,  30.9*, 0.05G,  0.4, 111000,
723060,13722, 19850129,   31.6,24,   27.0,24, 1017.5,24, 1001.2,24,   3.3,24,   4.8,24,   7.0, 999.9,   37.9 ,  27.0 , 0.29G,  0.8, 101000,
723060,13722, 19850130,   34.6,24,   26.8,24, 1022.8,24, 1006.3,24,   6.2,24,   4.7,24,   8.9, 999.9,   43.0*,  27.0 , 0.09G,999.9, 100000,
723060,13722, 19850131,   40.2,24,   34.8,24, 1016.6,24, 1000.4,24,   4.7,24,   6.5,24,  11.1, 999.9,   46.0*,  28.9 , 0.57G,999.9, 110010,
723060,13722, 19850201,   42.6,24,   40.5,24, 1012.8,24,  996.7,24,   1.2,24,   6.5,24,  15.9, 999.9,   51.1 ,  37.0 , 1.63G,999.9, 110010,
723060,13722, 19850202,   39.1,24,   36.5,24, 1012.9,24,  996.7,24,   2.4,24,   6.5,24,  11.1, 999.9,   51.1 ,  37.9 , 1.03G,999.9, 110000,
723060,13722, 19850203,   35.3,24,   26.7,24, 1024.0,24, 1007.6,24,   6.2,24,   8.3,24,  11.1, 999.9,   39.9 ,  30.9 , 0.01G,999.9, 110000,
723060,13722, 19850204,   31.5,24,   13.2,24, 1031.7,24, 1015.0,24,   9.6,24,   7.5,24,  11.1,  14.0,   39.9*,  23.0 , 0.00G,999.9, 000000,
723060,13722, 19850205,   29.8,24,   17.9,24, 1024.5,24, 1007.9,24,   7.1,24,   5.7,24,   9.9, 999.9,   39.9 ,  23.0 , 0.22G,999.9, 111000,
723060,13722, 19850206,   34.5,24,   31.9,24, 1010.4,24,  994.2,24,   1.6,24,   4.4,24,   7.0, 999.9,   45.0*,  27.0 , 0.36G,999.9, 110000,
723060,13722, 19850207,   37.3,24,   22.7,24, 1017.7,24, 1001.4,24,   6.6,24,   7.8,24,  15.9,  22.9,   45.0 ,  32.0 , 0.03G,999.9, 100000,
723060,13722, 19850208,   27.9,24,    4.3,24, 1025.4,24, 1008.9,24,  13.3,24,  12.5,24,  17.1,  25.1,   44.1 ,  19.0 , 0.00G,999.9, 000000,
723060,13722, 19850209,   27.8,24,    1.5,24, 1026.5,24, 1009.8,24,  15.1,24,  11.5,24,  15.9,  21.0,   41.0*,  19.0 , 0.00D,999.9, 000000,
723060,13722, 19850210,   34.7,24,    6.2,24, 1026.2,24, 1009.7,24,  14.9,24,   5.2,24,  10.1, 999.9,   50.0*,  19.0 , 0.00D,999.9, 000000,
723060,13722, 19850211,   39.0,24,   17.0,24, 1022.2,24, 1005.9,24,  13.8,24,   7.9,24,  14.0,  21.0,   54.0*,  19.0 , 0.00D,999.9, 000000,
723060,13722, 19850212,   41.2,24,   32.4,24,  999.5,24,  983.6,24,   7.3,24,  15.1,24,  22.0,  38.1,   54.0 ,  24.1 , 0.98G,999.9, 111000,
723060,13722, 19850213,   34.3,24,   17.7,24, 1006.5,24,  990.3,24,  11.4,24,  13.2,24,  18.1,  25.1,   51.1 ,  25.0 , 0.58G,999.9, 000000,
723060,13722, 19850214,   35.0,24,   16.3,24, 1015.6,24,  999.3,24,  12.7,24,   8.4,24,  17.1,  20.0,   48.0*,  23.0 , 0.00G,999.9, 000000,
723060,13722, 19850215,   34.8,24,   13.7,24, 1016.1,24,  999.8,24,  14.4,24,   6.9,24,  13.0, 999.9,   48.9 ,  23.0 , 0.00D,999.9, 000000,
723060,13722, 19850216,   29.8,24,   11.6,24, 1018.7,24, 1002.3,24,  12.4,24,   3.5,24,   8.9, 999.9,   45.0*,  16.0 , 0.00D,999.9, 000000,
723060,13722, 19850217,   38.8,24,   15.2,24, 1022.7,24, 1006.3,24,  10.9,24,   5.8,24,  10.1, 999.9,   52.0*,  16.0 , 0.00D,999.9, 000000,
723060,13722, 19850218,   39.9,24,   19.5,24, 1031.2,24, 1014.7,24,  12.0,24,   5.5,24,  12.0, 999.9,   53.1 ,  27.0 , 0.00D,999.9, 000000,
723060,13722, 19850219,   44.8,24,   28.2,24, 1026.9,24, 1010.5,24,  10.0,24,   5.4,24,   8.9, 999.9,   55.9*,  27.0 , 0.00D,999.9, 010000,
723060,13722, 19850220,   44.5,24,   31.2,24, 1024.4,24, 1008.1,24,   8.5,24,   6.1,24,  11.1, 999.9,   57.0 ,  37.9 , 0.08G,999.9, 110000,
723060,13722, 19850221,   40.0,24,   22.3,24, 1032.6,24, 1016.0,24,   9.6,24,   5.6,24,  10.1, 999.9,   57.9*,  24.1 , 0.07G,999.9, 000000,
723060,13722, 19850222,   52.7,24,   36.0,24, 1031.8,24, 1015.5,24,  11.3,24,   7.6,24,  15.0,  20.0,   68.0*,  43.0*, 0.00G,999.9, 000000,
723060,13722, 19850223,   59.4,24,   46.5,24, 1027.7,24, 1011.6,24,  10.4,24,   8.1,24,  15.9,  20.0,   71.1*,  44.1 , 0.00D,999.9, 000000,
723060,13722, 19850224,   65.4,24,   53.3,24, 1020.8,24, 1005.0,24,   9.9,24,  11.6,24,  19.0,  25.1,   78.1 ,  48.0 , 0.00D,999.9, 100000,
723060,13722, 19850225,   65.8,24,   52.5,24, 1020.0,24, 1004.3,24,  10.7,24,   7.5,24,  12.0,  17.1,   78.1 ,  57.9 , 0.00D,999.9, 010000,
723060,13722, 19850226,   53.1,24,   48.3,24, 1021.3,24, 1005.2,24,   4.3,24,   6.8,24,  11.1, 999.9,   71.1 ,  46.0 , 1.16G,999.9, 110000,
723060,13722, 19850227,   55.2,24,   44.1,24, 1019.0,24, 1002.9,24,   6.1,24,   7.5,24,  15.0,  22.9,   66.0 ,  46.0 , 0.24G,999.9, 100000,
723060,13722, 19850228,   45.2,24,   20.2,24, 1025.7,24, 1009.4,24,  12.0,24,   6.4,24,  11.1, 999.9,   66.0 ,  32.0 , 0.00G,999.9, 000000,
723060,13722, 19850301,   44.2,24,   27.8,24, 1022.4,24, 1006.1,24,  12.1,24,   5.4,24,   8.9, 999.9,   59.0*,  30.0 , 0.00D,999.9, 000000,
723060,13722, 19850302,   53.8,24,   38.8,24, 1014.7,24,  998.7,24,   8.4,24,   6.3,24,  10.1, 999.9,   66.0*,  30.0 , 0.00D,999.9, 100000,
723060,13722, 19850303,   51.6,24,   29.0,24, 1022.9,24, 1006.8,24,  12.8,24,   6.5,24,  13.0,  20.0,   66.0 ,  41.0 , 0.00D,999.9, 000000,
723060,13722, 19850304,   53.8,24,   39.5,24, 1022.8,24, 1006.6,24,  10.3,24,   7.8,24,  12.0, 999.9,   69.1*,  42.1 , 0.00D,999.9, 000000,
723060,13722, 19850305,   66.3,24,   50.6,24, 1015.0,24,  999.2,24,   7.6,24,  13.0,24,  17.1,  22.9,   75.0*,  61.0*, 0.00D,999.9, 000000,
723060,13722, 19850306,   48.7,24,   20.0,24, 1026.7,24, 1010.6,24,  14.7,24,  12.1,24,  15.0,  21.0,   75.0 ,  37.0 , 0.00D,999.9, 000000,
