STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
723060,13722, 19830101,   39.4,24,   37.7,24, 1025.8,24, 1009.3,24,   2.1,24,   3.3,24,   7.0, 999.9,   45.0*,  33.1 , 0.48G,999.9, 110000,
723060,13722, 19830102,   42.4,24,   41.0,24, 1021.1,24, 1004.8,24,   2.6,24,   3.1,24,   8.0, 999.9,   45.0 ,  37.0 , 0.12G,999.9, 110000,
723060,13722, 19830103,   41.1,24,   36.3,24, 1019.1,24, 1002.8,24,   4.4,24,   7.8,24,  11.1, 999.9,   45.0 ,  37.0 , 0.31G,999.9, 110000,
723060,13722, 19830104,   34.3,24,   24.0,24, 1030.4,24, 1013.8,24,   9.2,24,   6.4,24,  12.0, 999.9,   46.0 ,  27.0 , 0.27G,999.9, 100000,
723060,13722, 19830105,   35.9,24,   31.6,24, 1028.4,24, 1011.8,24,   6.5,24,   7.9,24,  11.1, 999.9,   44.1 ,  27.0 , 0.38G,999.9, 110000,
723060,13722, 19830106,   41.5,24,   35.5,24, 1020.4,24, 1004.1,24,   4.4,24,   4.4,24,   8.0, 999.9,   53.1*,  32.0 , 0.06G,999.9, 110000,
723060,13722, 19830107,   46.2,24,   33.2,24, 1017.0,24, 1000.8,24,   9.5,24,   7.0,24,  10.1, 999.9,   61.0*,  32.0 , 0.00G,999.9, 000000,
723060,13722, 19830108,   44.6,24,   30.3,24, 1020.8,24, 1004.5,24,  10.9,24,   5.1,24,   8.9, 999.9,   61.0 ,  25.0 , 0.00D,999.9, 000000,
723060,13722, 19830109,   40.6,24,   30.0,24, 1024.2,24, 1007.9,24,  12.3,24,   6.2,24,   8.0, 999.9,   52.0 ,  34.0 , 0.00D,999.9, 000000,
723060,13722, 19830110,   44.6,24,   42.0,24, 1017.9,24, 1001.7,24,   3.1,24,   6.7,24,   8.0, 999.9,   48.0*,  34.0 , 0.03G,999.9, 110000,
723060,13722, 19830111,   48.5,24,   42.3,24, 1009.4,24,  993.4,24,   5.4,24,   7.2,24,  12.0, 999.9,   54.0 ,  42.1 , 0.02G,999.9, 110000,
723060,13722, 19830112,   41.8,24,   26.6,24, 1009.6,24,  993.6,24,  10.1,24,   9.7,24,  17.1,  23.9,   55.0 ,  37.0 , 0.02G,999.9, 011000,
723060,13722, 19830113,   31.8,24,   15.4,24, 1021.6,24, 1005.1,24,  11.2,24,   6.4,24,  12.0, 999.9,   46.0 ,  19.9 , 0.00G,999.9, 000000,
723060,13722, 19830114,   33.3,24,   19.4,24, 1024.0,24, 1007.4,24,   8.5,24,   5.1,24,  12.0, 999.9,   48.9 ,  19.9 , 0.00D,999.9, 100000,
723060,13722, 19830115,   40.6,24,   26.5,24, 1010.9,24,  994.8,24,   7.5,24,   8.6,24,  15.9, 999.9,   50.2 ,  21.0 , 0.00D,999.9, 000000,
723060,13722, 19830116,   34.5,24,   12.8,24, 1013.0,24,  996.9,24,  10.0,24,  10.8,24,  14.0,  25.8,   46.9 ,  26.1 , 0.00D,999.9, 000000,
723060,13722, 19830117,   29.6,24,   14.7,24, 1012.6,24,  996.3,24,   8.0,24,   4.4,24,  10.1, 999.9,   44.1*,  14.9 , 0.00D,999.9, 000000,
723060,13722, 19830118,   30.8,24,    8.6,24, 1018.5,24, 1002.1,24,  10.8,24,   9.5,24,  14.0,  19.8,   45.0 ,  15.1 , 0.00C,999.9, 000000,
723060,13722, 19830119,   22.8,24,    0.3,24, 1027.7,24, 1010.9,24,  12.2,24,   8.7,24,  12.0, 999.9,   34.0 ,  10.0 , 0.00D,999.9, 000000,
723060,13722, 19830120,   23.2,24,    3.0,24, 1032.3,24, 1015.5,24,  10.4,24,   6.3,24,  14.0, 999.9,   34.0 ,  10.0 , 0.00D,999.9, 000000,
723060,13722, 19830121,   30.5,24,   11.2,24, 1028.7,24, 1012.0,24,   8.1,24,   9.8,24,  13.0,  16.9,   37.0 ,  16.0 , 0.00D,999.9, 011000,
723060,13722, 19830122,   37.8,24,   35.7,24, 1021.1,24, 1004.7,24,   3.1,24,   8.7,24,  10.1, 999.9,   41.0 ,  26.1 , 0.65G,999.9, 110000,
723060,13722, 19830123,   38.3,24,   37.7,24, 1014.8,24,  998.6,24,   0.6,24,   6.4,24,  10.1, 999.9,   41.0 ,  34.0 , 0.18G,999.9, 110000,
723060,13722, 19830124,   41.4,24,   35.0,24, 1013.9,24,  997.8,24,   5.2,24,   7.5,24,  12.0, 999.9,   48.9 ,  35.1 , 0.03G,999.9, 100000,
723060,13722, 19830125,   37.2,24,   28.8,24, 1019.3,24, 1003.0,24,   8.9,24,   3.5,24,   8.0, 999.9,   51.1*,  25.9 , 0.00G,999.9, 000000,
723060,13722, 19830126,   37.2,24,   27.3,24, 1021.6,24, 1005.3,24,   7.7,24,   3.9,24,   8.0, 999.9,   51.1 ,  25.0 , 0.00D,999.9, 000000,
723060,13722, 19830127,   39.4,24,   33.2,24, 1020.7,24, 1004.3,24,   6.0,24,   6.4,24,  10.1, 999.9,   50.0 ,  25.0 , 0.01G,999.9, 110000,
