STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
723060,13722, 19900101,   51.3,24,   38.5,24, 1012.8,24,  996.8,24,  11.9,24,  13.8,24,  21.0,  29.9,   64.0 ,  39.9 , 0.41G,999.9, 010000,
723060,13722, 19900102,   35.0,24,   19.7,24, 1031.2,24, 1014.6,24,  15.5,24,   5.4,24,  11.1, 999.9,   46.9*,  21.9 , 0.09G,999.9, 000000,
723060,13722, 19900103,   41.4,24,   25.7,24, 1030.1,24, 1013.5,24,  10.5,24,   6.8,24,  12.0, 999.9,   57.0*,  21.9 , 0.00G,999.9, 000000,
723060,13722, 19900104,   52.3,24,   41.4,24, 1024.0,24, 1007.7,24,   8.6,24,   6.9,24,  12.0, 999.9,   63.0*,  30.9 , 0.00G,999.9, 000000,
723060,13722, 19900105,   56.0,24,   49.3,24, 1020.0,24, 1004.0,24,   5.9,24,   4.9,24,   8.0, 999.9,   63.0 ,  45.0 , 0.00G,999.9, 110000,
723060,13722, 19900106,   50.7,24,   46.6,24, 1018.8,24, 1002.7,24,   4.1,24,   5.1,24,  15.0, 999.9,   61.0 ,  46.9 , 0.36G,999.9, 110000,
723060,13722, 19900107,   44.5,24,   31.5,24, 1021.9,24, 1005.6,24,  12.6,24,   3.4,24,   7.0, 999.9,   55.0 ,  39.9 , 0.13G,999.9, 000000,
723060,13722, 19900108,   42.2,24,   39.9,24, 1012.5,24,  996.3,24,   3.6,24,   6.2,24,  14.0, 999.9,   48.0 ,  39.9 , 0.54G,999.9, 110000,
723060,13722, 19900109,   39.2,24,   37.7,24, 1016.9,24, 1000.5,24,   4.0,24,   5.7,24,  10.1,  17.1,   50.0*,  33.1 , 0.02G,999.9, 100000,
723060,13722, 19900110,   47.7,24,   35.0,24, 1012.2,24,  996.1,24,  11.0,24,  11.7,24,  21.0,  28.9,   59.0 ,  33.1 , 0.00G,999.9, 000000,
