STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
723060,13722, 19840101,   27.8,24,    6.6,24, 1035.7,24, 1018.8,24,  17.6,24,   5.7,24,  10.1, 999.9,   44.1*,  10.9 , 0.00D,999.9, 000000,
723060,13722, 19840102,   32.9,24,   12.1,24, 1032.3,24, 1015.6,24,  15.2,24,   3.7,24,   8.9, 999.9,   48.0*,  16.0 , 0.00D,999.9, 000000,
723060,13722, 19840103,   39.3,24,   23.3,24, 1026.8,24, 1010.3,24,  12.6,24,   4.9,24,   8.0, 999.9,   50.0 ,  18.0 , 0.00D,999.9, 000000,
723060,13722, 19840104,   37.9,24,   25.2,24, 1021.3,24, 1004.9,24,   9.2,24,   6.7,24,  12.0, 999.9,   55.9*,  27.0 , 0.00D,999.9, 000000,
723060,13722, 19840105,   42.4,24,   28.5,24, 1012.6,24,  996.4,24,  12.9,24,   5.3,24,  10.1, 999.9,   55.9 ,  27.0 , 0.00D,999.9, 010000,
723060,13722, 19840106,   42.6,24,   32.2,24, 1007.6,24,  991.5,24,  13.4,24,   5.9,24,  10.1, 999.9,   53.1 ,  33.1 , 0.00D,999.9, 000000,
723060,13722, 19840107,   40.8,24,   24.5,24, 1011.0,24,  994.8,24,  15.9,24,   8.2,24,  15.0, 999.9,   54.0 ,  34.0 , 0.00D,999.9, 000000,
723060,13722, 19840108,   35.2,24,   17.5,24, 1019.7,24, 1003.3,24,  13.6,24,   6.2,24,  15.9, 999.9,   55.0*,  19.0 , 0.00D,999.9, 000000,
723060,13722, 19840109,   43.9,24,   25.6,24, 1024.9,24, 1008.5,24,  14.9,24,   5.8,24,  10.1, 999.9,   57.9*,  19.0 , 0.00D,999.9, 000000,
723060,13722, 19840110,   43.6,24,   35.4,24, 1018.8,24, 1002.6,24,   9.0,24,   6.5,24,  17.1, 999.9,   57.9 ,  30.0 , 0.26G,999.9, 110000,
723060,13722, 19840111,   36.6,24,   26.9,24, 1014.5,24,  998.2,24,   8.7,24,  15.3,24,  22.0,  30.9,   46.9 ,  30.9 , 2.85G,999.9, 111000,
723060,13722, 19840112,   25.5,24,    9.7,24, 1030.1,24, 1013.3,24,  17.3,24,  12.9,24,  15.0,  23.9,   42.1 ,  18.0 , 1.18G,999.9, 000000,
723060,13722, 19840113,   27.4,24,   19.6,24, 1033.0,24, 1016.2,24,  11.4,24,   9.8,24,  14.0, 999.9,   33.1 ,  18.0 , 0.00G,999.9, 110000,
723060,13722, 19840114,   34.7,24,   31.2,24, 1029.2,24, 1012.5,24,   3.3,24,   7.7,24,  11.1, 999.9,   45.0*,  26.1 , 0.25G,999.9, 110000,
723060,13722, 19840115,   32.8,24,   26.7,24, 1029.4,24, 1012.8,24,   6.2,24,   6.2,24,   8.9, 999.9,   45.0 ,  28.0 , 0.01G,999.9, 100000,
723060,13722, 19840116,   31.7,24,   22.3,24, 1023.4,24, 1006.9,24,   6.1,24,   4.1,24,   6.0, 999.9,   37.9*,  28.0 , 0.00G,999.9, 000000,
723060,13722, 19840117,   35.3,24,   27.6,24, 1023.1,24, 1006.6,24,   5.8,24,   4.7,24,   7.0, 999.9,   46.0*,  27.0 , 0.00D,999.9, 000000,
723060,13722, 19840118,   36.8,24,   33.1,24, 1022.8,24, 1006.3,24,   2.8,24,   7.3,24,  13.0, 999.9,   46.0 ,  27.0 , 0.39G,999.9, 110000,
723060,13722, 19840119,   34.5,24,   28.9,24, 1018.7,24, 1002.4,24,   3.2,24,   9.2,24,  15.0,  19.8,   37.9 ,  30.0 , 0.95G,999.9, 110010,
723060,13722, 19840120,   24.8,24,    7.6,24, 1029.7,24, 1012.9,24,  13.3,24,   6.6,24,  13.0, 999.9,   37.0 ,  17.1 , 0.91G,999.9, 000000,
723060,13722, 19840121,   24.2,24,    7.0,24, 1032.7,24, 1015.8,24,  20.3,24,   8.5,24,  15.9,  21.0,   33.1 ,  17.1 , 0.00G,999.9, 000000,
723060,13722, 19840122,   19.2,24,    4.9,24, 1038.7,24, 1021.6,24,  13.0,24,   5.1,24,   7.0, 999.9,   35.1*,   8.1 , 0.00D,999.9, 000000,
723060,13722, 19840123,   30.3,24,   14.4,24, 1035.9,24, 1019.0,24,   9.9,24,   4.8,24,   7.0, 999.9,   48.0*,   8.1 , 0.00D,999.9, 000000,
723060,13722, 19840124,   42.3,24,   33.1,24, 1024.0,24, 1007.6,24,   8.4,24,   4.3,24,   8.0, 999.9,   55.9 ,  35.1*, 0.00D,999.9, 110000,
723060,13722, 19840125,   47.5,24,   44.9,24, 1014.1,24,  997.9,24,   2.1,24,   4.9,24,   8.0, 999.9,   55.9 ,  35.1 , 0.18G,999.9, 110000,
723060,13722, 19840126,   43.6,24,   33.7,24, 1020.1,24, 1003.8,24,   9.8,24,   3.8,24,  10.1, 999.9,   59.0*,  27.0*, 0.10G,999.9, 000000,
723060,13722, 19840127,   44.6,24,   34.4,24, 1013.3,24,  997.1,24,  10.9,24,   3.7,24,   8.0, 999.9,   64.0*,  27.0 , 0.03G,999.9, 110000,
723060,13722, 19840128,   41.6,24,   30.4,24, 1010.4,24,  994.3,24,  11.7,24,   4.7,24,  10.1, 999.9,   64.0 ,  30.9 , 0.01G,999.9, 000000,
723060,13722, 19840129,   40.8,24,   28.9,24, 1008.6,24,  992.5,24,  10.1,24,   8.0,24,  14.0,  20.0,   53.1*,  30.0 , 0.00G,999.9, 100000,
723060,13722, 19840130,   39.0,24,   27.8,24, 1010.8,24,  994.7,24,  11.9,24,   6.3,24,  15.0,  22.9,   57.0*,  24.1 , 0.00D,999.9, 010000,
723060,13722, 19840131,   36.2,24,   19.4,24, 1013.4,24,  997.2,24,  16.4,24,  13.6,24,  25.1,  39.0,   57.9 ,  24.1 , 0.02G,999.9, 010000,
723060,13722, 19840201,   31.1,24,   14.0,24, 1021.5,24, 1005.0,24,  16.6,24,   5.2,24,   8.9, 999.9,   44.1*,  17.1 , 0.01G,999.9, 000000,
723060,13722, 19840202,   38.2,24,   21.2,24, 1026.0,24, 1009.4,24,  11.6,24,   6.8,24,  12.0, 999.9,   55.0*,  17.1 , 0.00G,999.9, 000000,
723060,13722, 19840203,   47.0,24,   37.2,24, 1019.5,24, 1003.3,24,  10.1,24,   9.3,24,  15.9,  25.1,   59.0 ,  27.0 , 0.00D,999.9, 110000,
723060,13722, 19840204,   51.0,24,   48.5,24, 1008.2,24,  992.2,24,   3.9,24,   5.2,24,   9.9, 999.9,   59.0 ,  37.0 , 0.45G,999.9, 110000,
723060,13722, 19840205,   41.1,24,   33.8,24, 1003.7,24,  987.7,24,   7.3,24,   6.9,24,  17.1, 999.9,   55.0 ,  35.1 , 0.07G,999.9, 110000,
723060,13722, 19840206,   32.0,24,   25.5,24, 1009.3,24,  993.1,24,   9.4,24,   7.7,24,  20.0, 999.9,   46.9 ,  26.1 , 0.69G,  7.1, 101000,
723060,13722, 19840207,   26.4,24,   12.2,24, 1022.6,24, 1006.0,24,  12.6,24,   8.6,24,  13.0,  18.1,   37.0 ,  19.0 , 0.66G,  2.4, 000000,
723060,13722, 19840208,   26.5,24,   10.4,24, 1031.9,24, 1015.1,24,  11.4,24,   4.9,24,   8.9, 999.9,   39.0*,  14.0 , 0.00G,  1.2, 000000,
723060,13722, 19840209,   37.0,24,   18.2,24, 1028.7,24, 1012.1,24,   9.8,24,   4.4,24,   8.0, 999.9,   59.0*,  14.0 , 0.00D,999.9, 000000,
723060,13722, 19840210,   46.7,24,   27.9,24, 1028.3,24, 1011.8,24,   8.0,24,   5.1,24,  11.1, 999.9,   62.1*,  26.1 , 0.00C,999.9, 000000,
723060,13722, 19840211,   57.5,24,   47.3,24, 1025.9,24, 1009.7,24,   9.9,24,   9.1,24,  14.0,  18.1,   68.0*,  51.1*, 0.28G,999.9, 110000,
723060,13722, 19840212,   56.9,24,   49.1,24, 1025.6,24, 1009.4,24,   7.4,24,   5.6,24,  11.1, 999.9,   71.1*,  39.9 , 0.25G,999.9, 100000,
723060,13722, 19840213,   59.8,24,   51.5,24, 1022.5,24, 1006.5,24,   8.7,24,  10.7,24,  17.1,  24.1,   72.0 ,  39.9 , 0.01G,999.9, 110000,
723060,13722, 19840214,   60.6,24,   56.4,24, 1012.8,24,  996.9,24,   8.1,24,   9.0,24,  14.0, 999.9,   71.1 ,  52.0 , 1.47G,999.9, 110000,
723060,13722, 19840215,   53.2,24,   40.0,24, 1016.2,24, 1000.2,24,  17.6,24,   7.1,24,  12.0, 999.9,   66.0*,  39.0 , 0.08G,999.9, 000000,
723060,13722, 19840216,   51.4,24,   38.9,24, 1019.6,24, 1003.5,24,  14.3,24,   3.7,24,   6.0, 999.9,   66.9 ,  39.0 , 0.00G,999.9, 000000,
723060,13722, 19840217,   55.0,24,   44.9,24, 1018.0,24, 1002.0,24,   7.8,24,   7.0,24,  12.0, 999.9,   70.0*,  39.0 , 0.00D,999.9, 100000,
723060,13722, 19840218,   53.8,24,   39.1,24, 1017.5,24, 1001.4,24,   9.7,24,   3.4,24,   8.9, 999.9,   70.0 ,  37.9 , 0.00D,999.9, 000000,
723060,13722, 19840219,   54.1,24,   41.5,24, 1017.0,24, 1000.9,24,   8.7,24,   7.2,24,  14.0, 999.9,   71.1*,  37.9 , 0.00D,999.9, 000000,
723060,13722, 19840220,   59.2,24,   43.1,24, 1011.3,24,  995.5,24,  13.3,24,   8.8,24,  13.0, 999.9,   72.0 ,  42.1 , 0.00D,999.9, 000000,
723060,13722, 19840221,   46.3,24,   27.5,24, 1012.5,24,  996.5,24,  13.4,24,   6.6,24,  12.0, 999.9,   63.0 ,  30.9 , 0.00D,999.9, 000000,
723060,13722, 19840222,   44.9,24,   25.6,24, 1017.1,24, 1000.9,24,  14.9,24,   5.3,24,  13.0, 999.9,   60.1*,  30.0 , 0.00D,999.9, 000000,
723060,13722, 19840223,   48.2,24,   39.2,24, 1006.2,24,  990.2,24,   7.6,24,   9.8,24,  18.1,  31.1,   61.0 ,  30.0 , 1.45G,999.9, 110010,
723060,13722, 19840224,   51.3,24,   37.1,24, 1006.5,24,  990.5,24,  12.9,24,   9.6,24,  13.0,  20.0,   66.0*,  37.9 , 0.11G,999.9, 110000,
723060,13722, 19840225,   52.6,24,   31.6,24, 1006.7,24,  990.8,24,  19.1,24,  13.7,24,  20.0,  28.9,   66.9 ,  37.9 , 0.01G,999.9, 000000,
723060,13722, 19840226,   41.1,24,   21.6,24, 1018.7,24, 1002.5,24,  18.2,24,   6.2,24,  13.0, 999.9,   55.0 ,  26.1 , 0.00G,999.9, 000000,
723060,13722, 19840227,   38.7,24,   28.6,24, 1017.6,23, 1000.5,24,  12.1,24,  10.0,24,  38.1,  54.0,   55.0 ,  26.1 , 0.38G,999.9, 110000,
723060,13722, 19840228,   42.0,24,   38.0,24,  998.0,24,  982.0,24,   3.5,24,  11.3,24,  24.1,  34.0,   48.9 ,  35.1 , 0.76G,999.9, 111000,
723060,13722, 19840229,   35.1,24,   18.1,24, 1004.2,24,  988.1,24,  13.5,24,  14.2,24,  18.1,  28.9,   48.9 ,  30.0 , 0.08G,999.9, 001000,
723060,13722, 19840301,   33.0,24,   10.5,24, 1015.6,24,  999.2,24,  15.0,24,  12.5,24,  18.1,  25.1,   42.1 ,  23.0 , 0.00G,999.9, 001000,
723060,13722, 19840302,   37.7,24,   20.8,24, 1018.1,24, 1001.7,24,  11.9,24,   4.6,24,  13.0,  19.0,   52.0*,  23.0 , 0.00D,999.9, 000000,
723060,13722, 19840303,   41.4,24,   26.0,24, 1020.5,24, 1004.2,24,  12.6,24,   5.3,24,   8.0, 999.9,   53.1 ,  27.0 , 0.00D,999.9, 000000,
723060,13722, 19840304,   40.0,24,   26.5,24, 1025.2,24, 1008.7,24,  12.8,24,   5.6,24,   8.9, 999.9,   55.0*,  26.1 , 0.00D,999.9, 000000,
723060,13722, 19840305,   48.8,24,   41.6,24, 1018.5,24, 1002.3,24,   8.2,24,   7.9,24,  14.0,  20.0,   61.0*,  26.1 , 0.12G,999.9, 110000,
723060,13722, 19840306,   53.1,24,   50.3,24, 1007.8,24,  992.0,24,   3.9,24,   9.5,24,  17.1,  24.1,   62.1 ,  41.0 , 1.28G,999.9, 110000,
723060,13722, 19840307,   39.2,24,   33.4,24, 1014.3,24,  998.1,24,   6.9,24,   7.8,24,  14.0, 999.9,   46.0*,  35.1 , 0.26G,999.9, 110000,
723060,13722, 19840308,   39.2,24,   29.2,24, 1018.1,24, 1001.7,24,   8.2,24,   7.5,24,  26.0,  35.9,   55.9*,  27.0 , 0.08G,999.9, 110000,
723060,13722, 19840309,   36.0,24,   16.0,24, 1019.8,24, 1003.5,24,  17.9,24,  12.6,24,  26.0,  28.9,   57.0 ,  26.1 , 0.08G,999.9, 010000,
723060,13722, 19840310,   31.9,24,   12.0,24, 1026.7,24, 1010.0,24,  17.4,24,   4.5,24,  10.1, 999.9,   45.0*,  21.9 , 0.04G,999.9, 000000,
723060,13722, 19840311,   39.6,24,   22.4,24, 1019.9,24, 1003.5,24,  12.0,24,   7.5,24,  14.0, 999.9,   54.0*,  21.9 , 0.00G,999.9, 000000,
723060,13722, 19840312,   40.2,24,   23.6,24, 1027.8,24, 1011.3,24,  10.2,24,   7.8,24,  13.0,  17.1,   55.0 ,  25.0 , 0.00D,999.9, 000000,
723060,13722, 19840313,   38.0,24,   30.0,24, 1025.4,24, 1009.0,24,   8.0,24,   9.8,24,  15.0,  18.1,   52.0 ,  28.0 , 0.65G,999.9, 110000,
723060,13722, 19840314,   45.6,24,   36.5,24, 1022.9,24, 1006.5,24,   3.9,24,   7.6,24,  15.0,  21.0,   64.0*,  30.9 , 0.50G,999.9, 100000,
723060,13722, 19840315,   51.0,24,   35.5,24, 1028.4,24, 1012.1,24,   9.5,24,   4.8,24,   8.9, 999.9,   69.1*,  30.9 , 0.00G,999.9, 100000,
723060,13722, 19840316,   60.9,24,   45.5,24, 1020.0,24, 1004.0,24,  11.8,24,   8.6,24,  15.9, 999.9,   79.0 ,  48.9*, 0.00D,999.9, 000000,
723060,13722, 19840317,   56.0,24,   38.8,24, 1020.5,24, 1004.5,24,  15.7,24,   9.3,24,  14.0, 999.9,   80.1 ,  44.1 , 0.00D,999.9, 000000,
723060,13722, 19840318,   50.7,24,   37.3,24, 1020.6,24, 1004.4,24,   9.3,24,   5.6,24,   8.9, 999.9,   63.0*,  37.9 , 0.00D,999.9, 000000,
723060,13722, 19840319,   53.0,24,   46.5,24, 1016.0,24, 1000.0,24,   5.8,24,   6.5,24,  10.1,  29.9,   64.0 ,  37.9 , 0.58G,999.9, 110010,
723060,13722, 19840320,   52.1,24,   47.9,24, 1013.3,24,  997.2,24,   2.6,24,   6.9,24,  10.1, 999.9,   66.0*,  46.0 , 0.38G,999.9, 100000,
723060,13722, 19840321,   56.0,24,   44.5,24, 1000.6,24,  984.8,24,  10.4,24,  15.7,24,  22.0,  32.1,   66.0 ,  46.0 , 0.53G,999.9, 010010,
723060,13722, 19840322,   51.0,24,   30.1,24, 1008.1,24,  992.1,24,  17.8,24,  12.0,24,  20.0,  26.0,   64.9*,  39.0 , 0.00D,999.9, 000000,
723060,13722, 19840323,   50.3,24,   29.2,24, 1015.6,24,  999.5,24,  17.0,24,   7.9,24,  19.0,  24.1,   66.0 ,  36.0 , 0.00D,999.9, 000000,
723060,13722, 19840324,   49.7,24,   27.7,24, 1020.4,24, 1004.1,24,  17.1,24,   5.7,24,  10.1, 999.9,   68.0*,  30.0 , 0.00D,999.9, 000000,
723060,13722, 19840325,   61.6,24,   51.8,24, 1009.7,24,  993.9,24,   8.9,24,  10.0,24,  19.0, 999.9,   72.0*,  55.0*, 0.41G,999.9, 110000,
723060,13722, 19840326,   52.1,24,   43.8,24, 1007.1,24,  991.2,24,   7.9,24,  10.3,24,  15.9, 999.9,   72.0 ,  43.0 , 0.21G,999.9, 110000,
723060,13722, 19840327,   52.0,24,   41.8,24, 1010.7,24,  994.7,24,   9.1,24,   7.6,24,  13.0, 999.9,   66.0*,  39.0 , 0.00G,999.9, 100000,
723060,13722, 19840328,   58.8,24,   53.1,24,  996.5,24,  980.9,24,   6.6,24,  10.2,24,  17.1,  24.1,   72.0*,  39.0 , 0.88G,999.9, 110010,
723060,13722, 19840329,   47.4,24,   39.6,24,  983.9,24,  968.3,24,  10.8,24,  11.9,24,  24.1,  33.0,   52.0*,  43.0 , 0.79G,999.9, 110010,
723060,13722, 19840330,   46.6,24,   27.8,24, 1007.0,24,  991.0,24,  14.9,24,  13.4,24,  22.0,  29.9,   55.9*,  37.9 , 0.69G,999.9, 000000,
723060,13722, 19840331,   45.9,24,   25.7,24, 1016.6,24, 1000.4,24,  14.9,24,  10.8,24,  15.9,  22.0,   57.0 ,  36.0 , 0.00G,999.9, 000000,
723060,13722, 19840401,   49.3,24,   28.6,24, 1018.9,24, 1002.7,24,  11.6,24,   6.8,24,  14.0, 999.9,   60.1*,  36.0 , 0.00D,999.9, 000000,
723060,13722, 19840402,   48.5,24,   29.8,24, 1021.6,24, 1005.4,24,  11.0,24,   4.2,24,  12.0,  19.0,   66.9*,  30.0 , 0.00D,999.9, 000000,
723060,13722, 19840403,   56.0,24,   40.9,24, 1019.7,24, 1003.6,24,   9.8,24,   6.2,24,  10.1, 999.9,   68.0 ,  46.0*, 0.00D,999.9, 000000,
723060,13722, 19840404,   59.5,24,   51.4,24, 1011.3,24,  995.6,24,   6.2,24,   9.8,24,  17.1,  20.0,   69.1*,  45.0 , 0.04G,999.9, 110000,
723060,13722, 19840405,   58.3,24,   49.6,24,  998.7,24,  983.1,24,   9.2,24,   9.6,24,  15.0,  22.9,   69.1 ,  50.0 , 0.94G,999.9, 110010,
723060,13722, 19840406,   52.6,24,   34.5,24, 1003.8,24,  988.0,24,  16.2,24,  12.8,24,  21.0,  36.9,   64.0 ,  43.0 , 0.00D,999.9, 000000,
723060,13722, 19840407,   52.9,24,   33.8,24, 1010.9,24,  994.9,24,  16.7,24,   9.0,24,  22.0,  28.0,   64.0*,  43.0 , 0.00D,999.9, 000000,
723060,13722, 19840408,   50.3,24,   33.3,24, 1020.1,24, 1004.0,24,  18.2,24,   5.4,24,   8.9, 999.9,   64.9 ,  35.1 , 0.00D,999.9, 000000,
723060,13722, 19840409,   49.2,24,   40.8,24, 1022.0,24, 1005.8,24,   8.8,24,   6.2,24,  10.1, 999.9,   59.0 ,  35.1 , 0.10G,999.9, 110000,
723060,13722, 19840410,   41.6,24,   37.3,24, 1017.5,24, 1001.3,24,   6.3,24,  10.1,24,  15.9,  20.0,   52.0 ,  39.0 , 0.70G,999.9, 110000,
723060,13722, 19840411,   47.3,24,   35.4,24, 1013.6,24,  997.4,24,  10.8,24,   5.1,24,   8.9, 999.9,   64.0*,  30.0 , 0.04G,999.9, 110000,
723060,13722, 19840412,   52.9,24,   37.9,24, 1015.0,24,  998.9,24,  11.1,24,   5.9,24,  10.1, 999.9,   69.1*,  30.0 , 0.00G,999.9, 000000,
723060,13722, 19840413,   60.6,24,   47.1,24, 1012.8,24,  996.9,24,  10.9,24,   8.2,24,  12.0, 999.9,   75.9*,  37.9 , 0.00D,999.9, 000000,
723060,13722, 19840414,   67.9,24,   58.3,24, 1008.9,24,  993.3,24,   6.9,24,   7.0,24,  22.0,  35.0,   77.0 ,  62.1*, 0.00D,999.9, 110010,
723060,13722, 19840415,   62.9,24,   55.2,24, 1005.3,24,  989.7,24,   6.6,24,   8.1,24,  15.0,  20.0,   79.0 ,  57.0 , 0.53G,999.9, 110010,
723060,13722, 19840416,   60.1,24,   50.2,24,  999.4,24,  983.8,24,   7.3,24,   8.3,24,  13.0, 999.9,   73.9 ,  52.0 , 0.09G,999.9, 110000,
723060,13722, 19840417,   55.6,24,   38.8,24, 1001.8,24,  986.0,24,  12.2,24,   9.7,24,  17.1,  21.0,   66.9 ,  45.0 , 0.00G,999.9, 000000,
723060,13722, 19840418,   52.3,24,   37.9,24, 1006.8,24,  990.9,24,   8.2,24,   8.4,24,  15.0,  22.9,   66.0 ,  41.0 , 0.00D,999.9, 110000,
723060,13722, 19840419,   53.5,24,   36.6,24, 1014.9,24,  998.9,24,  10.0,24,   5.8,24,  12.0, 999.9,   66.9 ,  37.0 , 0.00D,999.9, 010000,
723060,13722, 19840420,   54.0,24,   43.5,24, 1017.2,24, 1001.1,24,   5.5,24,   4.7,24,  10.1, 999.9,   70.0*,  37.0 , 0.09G,999.9, 110000,
723060,13722, 19840421,   57.4,24,   45.8,24, 1020.0,24, 1004.0,24,   7.8,24,   5.8,24,  10.1, 999.9,   70.0 ,  39.9 , 0.00D,999.9, 010000,
