STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
723060,13722, 19870101,   38.8,24,   32.3,24, 1016.0,24,  999.7,24,   6.4,24,  10.9,24,  22.0,  28.9,   48.9 ,  24.1 , 0.89G,999.9, 110000,
723060,13722, 19870102,   40.4,24,   32.4,24, 1009.5,24,  993.3,24,   5.6,24,   9.7,24,  15.9,  22.0,   46.9 ,  35.1 , 0.72G,999.9, 110000,
723060,13722, 19870103,   37.2,24,   21.7,24, 1020.4,24, 1004.0,24,   9.9,24,   8.0,24,  11.1,  21.0,   46.9 ,  28.0 , 0.02G,999.9, 000000,
723060,13722, 19870104,   34.4,24,   21.2,24, 1023.4,24, 1006.9,24,   8.6,24,   4.8,24,  10.1,  15.0,   46.0 ,  24.1 , 0.00G,999.9, 100000,
723060,13722, 19870105,   37.8,24,   13.7,24, 1022.6,24, 1006.1,24,  10.5,24,  10.3,24,  18.1, 999.9,   46.9*,  24.1 , 0.00D,999.9, 000000,
723060,13722, 19870106,   35.3,24,   17.9,24, 1024.9,24, 1008.4,24,  12.2,24,   5.7,24,   8.9, 999.9,   50.0*,  25.0 , 0.00D,999.9, 000000,
723060,13722, 19870107,   43.7,24,   27.5,24, 1016.0,24,  999.7,24,  11.4,24,   8.0,24,  14.0,  19.0,   61.0 ,  25.0 , 0.00D,999.9, 000000,
723060,13722, 19870108,   44.3,24,   27.6,24, 1018.9,24, 1002.7,24,   9.7,24,   6.4,24,  15.0, 999.9,   61.0 ,  28.9 , 0.00D,999.9, 000000,
723060,13722, 19870109,   36.5,24,   23.9,24, 1020.9,24, 1004.5,24,   9.4,24,   3.0,24,   8.9, 999.9,   51.1 ,  24.1 , 0.00D,999.9, 000000,
723060,13722, 19870110,   43.2,24,   38.1,24, 1011.1,24,  994.9,24,   4.0,24,   5.6,24,  12.0, 999.9,   51.1 ,  24.1 , 0.17G,999.9, 110000,
723060,13722, 19870111,   42.6,24,   30.2,24, 1006.3,24,  990.2,24,   7.4,24,  10.9,24,  21.0,  28.9,   51.1 ,  34.0 , 0.04G,999.9, 100000,
723060,13722, 19870112,   39.8,24,   20.3,24, 1010.9,24,  994.7,24,  16.2,24,   9.5,24,  15.9,  24.1,   57.0*,  27.0 , 0.00G,999.9, 000000,
