STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
723060,13722,19970101,46.2,24,42.9,24,1023.6,24,1007.3,20,5.6,24,6.7,24,15.9,18.1,   57.9*,  39.0*, 0.04G,999.9,110000
723060,13722,19970102,43.6,24,41.8,24,1016.7,24,1000.2,20,3.2,24,6.5,24,13,15.9,   52.0*,  39.2*, 0.18G,999.9,110000
723060,13722,19970103,56.4,24,50.9,24,1011.3,24,995.2,20,4,24,7.1,24,11.1,999.9,   71.1*,  51.1*, 0.00G,999.9,100000
723060,13722,19970104,61.6,24,55.6,24,1012.5,24,996.6,20,6.6,24,2.9,24,8,999.9,   75.0*,  51.1*, 0.00D,999.9,100000
723060,13722,19970105,65.9,24,61,24,1007.7,24,992,21,8.9,24,10.4,24,18.1,21,   75.0*,  62.1*, 0.05D,999.9,10000
723060,13722,19970106,55.1,24,39.1,24,1011.3,24,995.5,20,9.9,24,6.1,24,13,16.9,   66.0*,  44.1*, 0.00D,999.9,0
723060,13722,19970107,46.5,24,29.2,24,1017.1,24,1000.9,20,9.9,24,3.6,24,8.9,15,   52.0*,  43.0*, 0.00D,999.9,0
723060,13722,19970108,36.7,24,14.4,24,1023.5,24,1007,20,9.9,24,3.4,24,8,999.9,   45.0*,  28.0*, 0.00D,999.9,0
723060,13722,19970109,35.4,24,29.3,24,1013.7,24,996.2,22,5.7,24,5.1,24,11.1,999.9,   42.1*,  33.1*, 0.49G,999.9,111000
723060,13722,19970110,40.5,24,32.6,24,1002.8,24,986.7,20,7.6,24,11.3,24,18.1,25.1,   48.0*,  35.1*, 0.71G,999.9,100000
723060,13722,19970111,33.9,24,21.9,24,1011.2,24,995.1,20,9.2,24,11,24,21,34,   44.1*,  23.0*, 0.04G,1.2,11000
723060,13722,19970112,28.8,24,16.2,24,1024.4,24,1007.9,20,9.9,24,3.1,24,7,999.9,   41.0*,  19.0*, 0.00G,999.9,0
723060,13722,19970113,30.4,24,12,24,1029.7,24,1013,20,9.9,24,3.3,24,7,999.9,   39.9*,  21.9*, 0.00D,999.9,0
723060,13722,19970114,28.8,24,16.5,24,1030.8,24,1013.9,21,9.9,24,0,24,999.9,999.9,   44.1*,  18.0*, 0.00D,999.9,0
723060,13722,19970115,32.6,23,20,23,1028,23,1011.1,20,9.7,23,2.4,23,10.1,999.9,   51.1*,  21.0*, 0.00C,999.9,0
723060,13722,19970116,48,24,37.2,24,1008.1,24,991.5,21,8.2,24,8.3,24,15,22,   55.9*,  41.0*, 0.66G,999.9,110000
723060,13722,19970117,27.5,24,0.8,24,1018.5,24,1002.2,20,9.9,24,8.6,24,14,23.9,   43.0*,  18.0*, 0.00G,999.9,0
723060,13722,19970118,23.2,24,-0.7,24,1019.7,24,1003,20,9.9,24,7.4,24,14,22,   32.0*,  16.0*, 0.00D,999.9,0
723060,13722,19970119,21.5,24,0.8,24,1024.7,24,1007.8,20,9.9,24,4,24,8,999.9,   33.1*,  12.9*, 0.00D,999.9,0
723060,13722,19970120,35.6,24,16.7,24,1020,24,1003.4,18,9.9,24,5.6,24,8.9,999.9,   52.0*,  24.1*, 0.00D,999.9,0
723060,13722,19970121,38.9,24,25.8,24,1026.4,24,1010.1,20,9.9,24,4.3,24,11.1,15.9,   53.1*,  28.0*, 0.00D,999.9,0
723060,13722,19970122,45.8,24,36.3,24,1026.6,24,1009.2,20,9.4,24,6.6,24,17.1,26,   66.0*,  32.0*, 0.00D,999.9,110000
723060,13722,19970123,57.6,24,49.4,24,1017.7,24,1001.6,20,7,24,6,24,11.1,999.9,   66.0*,  51.1*, 0.05G,999.9,100000
723060,13722,19970124,43.3,24,33.7,24,1023.3,24,1006.6,22,8.4,24,5.6,24,12,16.9,   51.8*,  36.0*, 0.01G,999.9,110000
723060,13722,19970125,51.2,24,45.1,24,1014,24,997.8,20,5.9,24,6.6,24,15,16.9,   57.2*,  45.0*, 0.41G,999.9,110010
723060,13722,19970126,39,24,22.2,24,1027,24,1010.7,20,9.9,24,2.2,24,8,999.9,   50.0*,  26.1*, 0.00G,999.9,0
723060,13722,19970127,40.2,24,27.2,24,1033,24,1016.4,20,9.9,24,3.4,24,7,999.9,   51.1*,  32.0*, 0.00D,999.9,0
723060,13722,19970128,52.9,24,45.5,24,1022.2,24,1005.8,19,8.7,24,8.2,24,17.1,19,   57.0*,  46.9*, 0.41D,999.9,110000
723060,13722,19970129,38.8,24,23.6,24,1030.8,24,1014.4,21,9.9,24,4.7,24,11.1,999.9,   46.9*,  30.9*, 0.01D,999.9,0
723060,13722,19970130,35.6,24,28.3,24,1027.5,24,1010.4,21,8.1,24,6.9,24,11.1,999.9,   39.9*,  33.1*, 0.02G,999.9,111000
723060,13722,19970131,37.5,24,35.4,24,1018.1,24,1001.4,19,3.4,24,4.7,24,10.1,999.9,   48.9*,  33.1*, 0.11G,999.9,110000
723060,13722,19970201,46.7,24,36,24,1011.8,24,995.6,19,6.8,24,6.1,24,8.9,999.9,   70.0*,  34.0*, 0.00G,999.9,100000
723060,13722,19970202,46.9,24,37.7,24,1017.8,24,1001.6,20,9.9,24,2.9,24,7,999.9,   64.0*,  35.1*, 0.00C,999.9,0
723060,13722,19970203,49.9,24,41.9,24,1022.3,24,1006,20,9.2,24,1.9,24,6,999.9,   66.9*,  37.9*, 0.00D,999.9,100000
723060,13722,19970204,49,24,42.1,24,1027,24,1010.4,20,7.6,24,7.8,24,14,20,   55.9*,  44.1*, 0.00D,999.9,10000
723060,13722,19970205,47.2,24,43.8,24,1019.4,24,1002.9,20,2.8,24,2.5,24,6,999.9,   57.2*,  42.8*, 0.05C,999.9,110000
723060,13722,19970206,42.5,24,28.2,24,1022.9,24,1006.6,20,9.7,24,3.2,24,8.9,999.9,   53.1*,  30.0*, 0.00D,999.9,100000
723060,13722,19970207,46,24,32.9,24,1022.9,24,1006.4,20,9.6,24,2.1,24,7,999.9,   57.9*,  37.9*, 0.00D,999.9,0
723060,13722,19970208,41.7,24,37,24,1018.2,24,1001.7,21,6.7,24,6.3,24,10.1,14,   48.0*,  35.1*, 0.11G,999.9,110000
723060,13722,19970209,35.5,24,30.8,24,1024.8,24,1008.3,20,9.2,24,3.2,24,8.9,999.9,   41.0*,  33.1*, 0.31G,999.9,100000
