STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
723060,13722, 19910101,   39.8,24,   24.9,24, 1033.5,24, 1015.3, 6,  14.9,24,   8.0,24,  11.1, 999.9,   46.9*,  30.0*, 0.06G,999.9, 000000,
723060,13722, 19910102,   41.3,24,   34.5,24, 1028.0,24, 9999.9, 0,   7.6,24,   5.6,24,   9.9, 999.9,   54.0*,  35.1*, 0.07G,999.9, 110000,
723060,13722, 19910103,   39.9,24,   38.3,24, 1026.8,24, 9999.9, 0,   3.6,24,   2.1,24,   6.0, 999.9,   50.0*,  30.9*, 0.05G,999.9, 100000,
723060,13722, 19910104,   43.5,24,   38.5,24, 1030.8,24, 9999.9, 0,   3.0,24,   6.4,24,  12.0, 999.9,   48.0*,  39.0*, 0.20G,999.9, 110000,
723060,13722, 19910105,   37.5,24,   29.0,24, 1033.1,24, 9999.9, 0,   9.3,24,   4.8,24,   7.0, 999.9,   48.9*,  28.9*, 0.00G,999.9, 000000,
723060,13722, 19910106,   41.4,24,   38.7,24, 1029.2,24, 9999.9, 0,   7.3,24,   5.4,24,  12.0, 999.9,   55.9*,  34.0*, 0.00G,999.9, 100000,
723060,13722, 19910107,   47.1,24,   45.8,24, 1026.2,24, 9999.9, 0,   4.8,24,   6.9,24,  15.0,  20.0,   54.0*,  37.9*, 0.54G,999.9, 110000,
723060,13722, 19910108,   33.3,24,   31.9,24, 1030.8,24, 9999.9, 0,   3.9,24,  12.2,24,  15.0, 999.9,   37.9*,  30.9*, 0.52G,999.9, 111000,
723060,13722, 19910109,   34.9,24,   34.1,24, 1029.5,24, 9999.9, 0,   1.1,24,   7.9,24,  10.1, 999.9,   41.0*,  32.0*, 0.23G,999.9, 110000,
723060,13722, 19910110,   40.5,24,   39.4,24, 1032.6,24, 9999.9, 0,   1.9,24,   5.3,24,   8.9, 999.9,   46.0*,  37.9*, 0.00G,999.9, 110000,
723060,13722, 19910111,   43.0,24,   40.5,24, 1026.3,24, 9999.9, 0,   4.2,24,   8.0,24,  13.0, 999.9,   46.0*,  39.9*, 0.42G,999.9, 110000,
723060,13722, 19910112,   41.6,24,   40.4,24, 1011.3,24, 9999.9, 0,   2.6,24,   6.0,24,  14.0, 999.9,   51.1*,  37.0*, 1.34G,999.9, 110000,
