STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
723060,13722,19820101,46.5,24,42,24,1011.2,24,995.2,24,5.3,24,8.4,24,13,999.9,   57.0*,28, 1.04G,999.9,110000
723060,13722,19820102,41.4,24,24.7,24,1025.2,24,1008.8,24,14.9,24,6.7,24,11.1,999.9,59,30.9, 0.00G,999.9,0
723060,13722,19820103,37.5,24,31,24,1024.8,24,1008.4,24,6.6,24,6.6,24,11.1,999.9,48.9,30.9, 0.92G,999.9,110000
723060,13722,19820104,50.5,24,45.4,24,1011.7,24,995.6,24,5.3,24,9.2,24,20,28,   64.9*,35.1, 0.45G,999.9,110000
723060,13722,19820105,44.7,24,21.7,24,1019.3,24,1003.2,24,25.1,24,10.2,24,18.1,26.8,64.9,33.1, 0.33G,999.9,0
723060,13722,19820106,43.7,24,28.8,24,1021.4,24,1005.2,24,22.3,24,7.5,24,13,999.9,   57.0*,33.1, 0.00G,999.9,0
723060,13722,19820107,56.9,24,49.9,24,1015.2,24,999.3,24,14.4,24,8.5,24,14,999.9,   66.9*,37, 0.00D,999.9,0
723060,13722,19820108,43.4,24,23.2,24,1022,24,1005.8,24,20,24,9.4,24,18.1,22,66.9,28, 0.02G,999.9,10010
723060,13722,19820109,34.4,24,16,24,1012.8,24,996.6,24,24.9,24,8.1,24,17.1,28.9,48.9,27, 0.00D,999.9,0
723060,13722,19820110,18.7,24,-6.3,24,1013.3,24,996.9,24,22.2,24,12.5,24,22.9,31.9,46.9,   8.1*, 0.00D,999.9,0
723060,13722,19820111,11.2,24,-8.6,24,1019.2,24,1002.3,24,16.6,24,8.7,24,13,17.9,27,3.9, 0.00D,999.9,0
723060,13722,19820112,19.2,24,2.8,24,1023.6,24,1006.9,24,17.4,24,6.2,24,10.1,999.9,   30.9*,5, 0.00D,999.9,0
723060,13722,19820113,27.5,24,22.8,24,1018.5,24,1002,24,5.7,24,6.4,24,10.1,999.9,30.9,12, 0.10G,999.9,111000
723060,13722,19820114,29.6,24,28.8,24,1004.4,24,988.2,24,2.7,24,7,24,13,999.9,32,25, 0.03G,0.8,111010
