STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
723060,13722,19960101,47.6,24,47.6,24,1010.3,24,9999.9,0,0.6,24,3.8,24,8.9,999.9,   48.9*,  45.0*, 0.08G,999.9,110000
723060,13722,19960102,43.9,24,43.7,24,1006.6,24,9999.9,0,0.4,24,5,24,8,999.9,   46.0*,  42.1*, 0.05G,999.9,110000
723060,13722,19960103,47.1,24,42.1,24,999.6,24,9999.9,0,5.5,24,7.4,24,12,999.9,   55.0*,  43.0*, 0.41G,999.9,110010
723060,13722,19960104,34.9,24,18.7,24,1014.7,24,9999.9,0,14.2,24,8.2,24,14,999.9,   46.0*,  27.0*, 0.01G,999.9,0
723060,13722,19960105,36.9,24,23.7,24,1023.6,24,9999.9,0,13.5,24,4.5,24,10.1,999.9,   50.0*,  27.0*, 0.00G,999.9,0
723060,13722,19960106,33.6,24,24,24,1028.2,24,9999.9,0,8.8,24,7.5,24,11.1,999.9,   42.1*,  27.0*, 0.00G,999.9,101000
723060,13722,19960107,24.7,24,22.3,24,1012.1,24,9999.9,0,2.6,24,9.5,24,12.8,19.8,   28.0*,  19.9*, 1.25G,3.9,111000
723060,13722,19960108,25,24,13.5,24,1005.9,24,9999.9,0,10.2,24,11.6,24,20,999.9,   34.0*,  19.9*, 0.09G,3.9,1000
723060,13722,19960109,29.4,24,11.4,24,1015.2,24,9999.9,0,14.9,24,7.3,24,13,999.9,   39.9*,  21.9*, 0.00G,3.9,0
723060,13722,19960110,35.1,24,22.5,24,1012.6,24,9999.9,0,14.5,24,8.4,24,15.9,999.9,   42.1*,  28.0*, 0.00G,3.1,0
723060,13722,19960111,27.5,24,12.9,24,1022.8,24,9999.9,0,14.9,24,6.7,24,8.9,999.9,   37.0*,  21.9*, 0.00G,3.1,0
723060,13722,19960112,28.5,24,23.3,24,1009.8,24,9999.9,0,5.8,24,7.1,24,10.9,999.9,   32.0*,  26.1*, 0.29G,2,111000
723060,13722,19960113,32.6,24,26.3,24,1009.6,24,9999.9,0,8,24,5.9,24,10.1,999.9,   45.0*,  24.1*, 0.26G,2,0
723060,13722,19960114,39,24,29.5,24,1016.2,24,9999.9,0,9.4,24,4.1,24,7,999.9,   54.0*,  28.0*, 0.00G,1.2,0
723060,13722,19960115,49,24,36.1,24,1019.8,24,9999.9,0,11.7,24,4.4,24,8,999.9,   64.0*,  39.0*, 0.00G,0.4,0
723060,13722,19960116,39.2,24,31.8,24,1029,24,9999.9,0,9.9,24,7.7,24,13,999.9,   51.1*,  34.0*, 0.00G,0.4,0
723060,13722,19960117,40.1,24,36,24,1026.5,24,9999.9,0,3.5,24,3.5,24,7,999.9,   57.0*,  33.1*, 0.00G,999.9,100000
723060,13722,19960118,52.4,24,50.9,24,1022,24,9999.9,0,3.2,24,7.6,24,15,999.9,   66.9*,  42.1*, 0.02G,999.9,110000
723060,13722,19960119,60.5,24,53.3,24,1006.1,24,9999.9,0,9.7,24,16,24,26,31.9,   69.1*,  42.1*, 0.63G,999.9,110010
723060,13722,19960120,28.4,24,10.6,24,1025.7,24,9999.9,0,14.9,24,8,24,15.9,999.9,   37.0*,  19.9*, 0.50G,999.9,0
723060,13722,19960121,28.6,24,18.4,24,1030,24,9999.9,0,13.8,24,5.5,24,8.9,999.9,   35.1*,  23.0*, 0.00G,999.9,0
723060,13722,19960122,33,24,20.5,24,1030.6,24,9999.9,0,14.2,24,4.8,24,8,999.9,   48.0*,  24.1*, 0.00G,999.9,0
723060,13722,19960123,38.8,24,30.2,24,1025,24,9999.9,0,8.8,24,4.7,24,10.1,999.9,   57.0*,  27.0*, 0.00G,999.9,0
723060,13722,19960124,56.3,24,47.3,24,1010.7,24,9999.9,0,11.7,24,12,24,22,26.8,   63.0*,  48.0*, 0.42G,999.9,110000
723060,13722,19960125,39.1,24,20.3,24,1023,24,9999.9,0,14.9,24,8.1,24,18.1,999.9,   55.0*,  30.0*, 0.00D,999.9,0
723060,13722,19960126,36.8,24,26.7,24,1031.3,24,9999.9,0,12.6,24,6,24,12,999.9,   55.9*,  26.1*, 0.00G,999.9,0
723060,13722,19960127,57.7,24,47.4,24,1016.9,24,9999.9,0,9.3,24,13.6,24,22,999.9,   63.0*,  48.9*, 0.79G,999.9,110000
723060,13722,19960128,37.8,24,11.1,24,1027.6,24,9999.9,0,14.9,24,7.2,24,15,999.9,   46.9*,  28.9*, 0.16G,999.9,0
723060,13722,19960129,32.9,24,22.3,24,1027.9,24,9999.9,0,13,24,4.6,24,10.1,999.9,   37.0*,  30.0*, 0.02G,999.9,10000
723060,13722,19960130,39.5,24,36.7,24,1020.3,24,9999.9,0,6.3,24,3.5,24,6,999.9,   46.0*,  35.1*, 0.01G,999.9,100000
